"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Diego Chara","POR","2021","M","$650,000","$668,750","2021-09-30"
"","Kevin Molino","CLB","2021","M","$667,000","$667,000","2021-09-30"
"","Matheus Rossetto","ATL","2021","M","$550,000","$662,500","2021-09-30"
"","Alfredo Morales","NYC","2021","M","$600,000","$662,250","2021-09-30"
"","Justen Glad","RSL","2021","D","$600,000","$660,031","2021-09-30"
"","José Mauri","SKC","2021","M","$660,000","$660,000","2021-09-30"
"","Cristian Arango","LAFC","2021","M","$600,000","$659,000","2021-09-30"
"","Jack Price","COL","2021","M","$600,000","$655,625","2021-09-30"
"","Julian Araujo","LAG","2021","D","$550,000","$653,750","2021-09-30"
"","Djordje Mihailovic","MTL","2021","M","$600,000","$651,875","2021-09-30"
"","Gregore","MIA","2021","M","$550,000","$651,000","2021-09-30"
"","Matt Besler","ATX","2021","D","$650,000","$650,000","2021-09-30"
"","Remi Walter","SKC","2021","M","$650,000","$650,000","2021-09-30"
"","Andre Blake","PHI","2021","GK","$600,000","$650,000","2021-09-30"
"","Michael Barrios","COL","2021","M","$650,000","$650,000","2021-09-30"
"","Anton Tinnerholm","NYC","2021","D","$600,000","$650,000","2021-09-30"
"","Khiry Shelton","SKC","2021","F","$650,000","$650,000","2021-09-30"
"","Nicolas Benezet","SEA","2021","M","$650,000","$650,000","2021-09-30"
"","Boris Sekulic","CHI","2021","D","$571,000","$643,900","2021-09-30"
"","Tomás Pochettino","ATX","2021","M","$582,447","$642,447","2021-09-30"
"","Nathan","SJE","2021","D","$600,000","$641,250","2021-09-30"
"","Jackson Yueill","SJE","2021","M","$600,000","$636,875","2021-09-30"
"","Kenneth Kronholm","CHI","2021","GK","$569,000","$632,000","2021-09-30"
"","Nicolás Figal","MIA","2021","D","$600,000","$630,000","2021-09-30"
"","Diego Rubio","COL","2021","F","$585,000","$629,583","2021-09-30"
"","Haris Medunjanin","CIN","2021","M","$570,000","$625,750","2021-09-30"
"","Nigel Robertha","DCU","2021","F","$550,000","$622,406","2021-09-30"
"","Ismael Tajouri-Shradi","NYC","2021","F","$577,500","$618,985","2021-09-30"
"","Dejan Joveljic","LAG","2021","F","$612,500","$612,500","2021-09-30"
"","Santiago Rodríguez","NYC","2021","M","$612,500","$612,500","2021-09-30"
"","Niko Hämäläinen","LAG","2021","D","$612,500","$612,500","2021-09-30"
"","Efrain Álvarez","LAG","2021","M","$500,000","$612,167","2021-09-30"
"","Pedro Vite","VAN","2021","M","$556,000","$609,997","2021-09-30"
"","Jonathan Menéndez","RSL","2021","M","$500,000","$602,813","2021-09-30"
"","Paxton Pomykal","FCD","2021","M","$600,000","$600,000","2021-09-30"
"","Marcelo Silva","RSL","2021","D","$550,000","$596,667","2021-09-30"
"","Matko Miljevic","MTL","2021","M","$545,455","$593,364","2021-09-30"
"","Jhegson Méndez","ORL","2021","M","$550,000","$586,750","2021-09-30"
"","Bressan","FCD","2021","D","$536,000","$582,340","2021-09-30"
"","Marco Delgado","TOR","2021","M","$500,000","$581,250","2021-09-30"
"","Roberto Puncec","SKC","2021","D","$575,000","$575,000","2021-09-30"
"","Florian Jungwirth","VAN","2021","D","$525,000","$567,667","2021-09-30"
"","Brad Smith","SEA","2021","D","$525,000","$566,250","2021-09-30"
"","Wilfrid Kaptoum","NER","2021","M","$500,000","$557,500","2021-09-30"
"","Robin Jansson","ORL","2021","D","$500,000","$556,250","2021-09-30"
"","Lewis Morgan","MIA","2021","M","$550,000","$553,125","2021-09-30"
"","Jesús Ferreira","FCD","2021","F","$550,000","$550,000","2021-09-30"
"","Francisco Ginella","LAFC","2021","M","$425,000","$547,250","2021-09-30"
"","Yamil Asad","DCU","2021","M","$475,000","$542,667","2021-09-30"
"","Dario Zuparic","POR","2021","D","$525,000","$541,667","2021-09-30"
"","Leonardo Chú","SEA","2021","M","$540,000","$540,000","2021-09-30"
"","Caio Alexandre","VAN","2021","M","$500,000","$539,583","2021-09-30"
"","Artur","CLB","2021","M","$480,000","$531,633","2021-09-30"
"","Kim Moon-Hwan","LAFC","2021","D","$500,000","$524,000","2021-09-30"
"","Kai Wagner","PHI","2021","D","$450,000","$521,000","2021-09-30"
"","Dru Yearwood","NYRB","2021","M","$475,000","$519,750","2021-09-30"
"","Marko Maric","HOU","2021","GK","$465,000","$513,250","2021-09-30"
"","Carlos Coronel","NYRB","2021","GK","$462,996","$512,656","2021-09-30"
"","Sean Johnson","NYC","2021","GK","$510,000","$510,000","2021-09-30"
"","Erik López","ATL","2021","F","$340,000","$508,300","2021-09-30"
"","Alan Franco","ATL","2021","D","$378,000","$505,500","2021-09-30"
"","Tim Melia","SKC","2021","GK","$500,000","$504,167","2021-09-30"
"","Santiago Sosa","ATL","2021","M","$385,000","$503,100","2021-09-30"
"","Jonathan Bond","LAG","2021","GK","$450,000","$501,875","2021-09-30"
"","Ilsinho","PHI","2021","M","$450,000","$501,250","2021-09-30"
"","Xavier Arreaga","SEA","2021","D","$393,600","$500,850","2021-09-30"
"","Roger Espinoza","SKC","2021","M","$500,000","$500,000","2021-09-30"
"","Bill Hamid","DCU","2021","GK","$500,000","$500,000","2021-09-30"
"","Russell Canouse","DCU","2021","M","$500,000","$500,000","2021-09-30"
"","Fafa Picault","HOU","2021","F","$500,000","$500,000","2021-09-30"
"","Justin Meram","RSL","2021","M","$500,000","$500,000","2021-09-30"
"","Andy Polo","POR","2021","M","$500,000","$500,000","2021-09-30"
"","Moussa Djitté","ATX","2021","F","$500,000","$500,000","2021-09-30"
"","Stefan Frei","SEA","2021","GK","$500,000","$500,000","2021-09-30"
"","Ahmed Hamdi","MTL","2021","M","$400,000","$497,500","2021-09-30"
"","Christian Mafla","NER","2021","D","$400,000","$495,000","2021-09-30"
"","Vito Wormgoor","CLB","2021","D","$415,000","$492,875","2021-09-30"
"","Johan Kappelhof","CHI","2021","D","$462,500","$490,333","2021-09-30"
"","Andrés Ricaurte","FCD","2021","M","$450,000","$487,178","2021-09-30"
"","Jorge Villafaña","LAG","2021","D","$450,000","$486,667","2021-09-30"
"","Anderson Julio","RSL","2021","F","$402,000","$485,875","2021-09-30"
"","Alex Bono","TOR","2021","GK","$450,000","$482,000","2021-09-30"
"","Eloy Room","CLB","2021","GK","$425,004","$479,698","2021-09-30"
"","Rándall Leal","NSH","2021","F","$420,000","$477,750","2021-09-30"
"","Bradley Wright-Phillips","CLB","2021","F","$410,000","$475,750","2021-09-30"
"","Oriol Rosell","ORL","2021","M","$475,000","$475,000","2021-09-30"
"","Adalberto Carrasquilla","HOU","2021","M","$418,908","$469,132","2021-09-30"
"","Toni Datkovic","RSL","2021","D","$420,000","$468,175","2021-09-30"
"","Jesús David Murillo","LAFC","2021","D","$400,000","$459,500","2021-09-30"
"","Will Bruin","SEA","2021","F","$450,000","$458,333","2021-09-30"
"","Dániel Sallói","SKC","2021","F","$400,000","$456,667","2021-09-30"
"","Diego Palacios","LAFC","2021","D","$432,000","$456,000","2021-09-30"
"","Samuel Piette","MTL","2021","M","$425,000","$454,750","2021-09-30"
"","Eric Remedi","SJE","2021","M","$450,000","$450,000","2021-09-30"
"","Franco Escobar","ATL","2021","D","$450,000","$450,000","2021-09-30"
"","Larrys Mabiala","POR","2021","D","$450,000","$450,000","2021-09-30"
"","Ethan Finlay","MIN","2021","M","$450,000","$450,000","2021-09-30"
"","Erik Godoy","VAN","2021","D","$450,000","$450,000","2021-09-30"
"","Pablo Ruiz","RSL","2021","M","$375,000","$448,500","2021-09-30"
"","Jakob Glesnes","PHI","2021","D","$425,000","$448,125","2021-09-30"
"","Cristian Dájome","VAN","2021","F","$400,000","$447,917","2021-09-30"
"","Ranko Veselinovic","VAN","2021","D","$360,000","$445,500","2021-09-30"
"","Jáder Obrian","FCD","2021","F","$360,000","$444,600","2021-09-30"
"","Andrés Reyes","NYRB","2021","D","$400,000","$444,375","2021-09-30"
"","Víctor Vázquez","LAG","2021","M","$400,000","$439,167","2021-09-30"
"","Evan Bush","CLB","2021","GK","$376,000","$438,667","2021-09-30"
"","Maikel van der Werff","CIN","2021","D","$350,000","$435,167","2021-09-30"
"","Jonathan Lewis","COL","2021","F","$410,000","$435,000","2021-09-30"
"","Steven Moreira","CLB","2021","D","$350,000","$432,708","2021-09-30"
"","Thomás Chacón","MIN","2021","M","$420,000","$432,000","2021-09-30"
"","Auston Trusty","COL","2021","D","$375,000","$431,250","2021-09-30"
